sim_rmse,sim_r,participant,alpha
0.104812952,0.625649441,1z0ca,0.000619811
0.115232032,0.514071445,1z0ca,0.015686528
0.124826497,0.369658149,1z0ca,4.78E-18
0.117754327,0.481357765,1z0ca,5.74E-06
0.11195641,0.55272356,1z0ca,0.000440937
0.109970254,0.574390328,1z0ca,0.000434214
0.115830631,0.506560178,1z0ca,5.31E-05
0.115576093,0.509769393,1z0ca,0.000332016
0.102850267,0.643336095,1z0ca,0.013470808
0.115641302,0.509101628,1z0ca,0.036114239
0.110974644,0.563599057,1z0ca,1.19E-05
0.11782323,0.480422502,1z0ca,0
0.102679874,0.644883613,1z0ca,0.000239981
0.108891628,0.585665096,1z0ca,0.000375476
0.117895345,0.479444695,1z0ca,5.77E-11
0.115697532,0.508242142,1z0ca,6.17E-05
0.117810373,0.480596489,1z0ca,0
0.117851913,0.480112139,1z0ca,3.19E-07
0.109197197,0.582503637,1z0ca,0.003245276
0.117105953,0.490043462,1z0ca,0.003184636
0.113564489,0.534233938,1z0ca,0.00426158
0.111037525,0.562917312,1z0ca,0.000353483
0.114901788,0.518148452,1z0ca,4.70E-05
0.110364325,0.570185156,1z0ca,0.01061448
0.10214848,0.649510226,1z0ca,0.000540648
0.110668307,0.566916608,1z0ca,0.00651009
0.111064349,0.562870451,1z0ca,0.000368272
0.110751192,0.566019199,1z0ca,0.000111969
0.115812889,0.506784115,1z0ca,0.001893596
0.112718115,0.544861231,1z0ca,0.002415401
0.107172678,0.602982901,1z0ca,0.000668433
0.105103505,0.623021695,1z0ca,0.000209713
0.118809509,0.466769648,1z0ca,0.005867398
0.117802803,0.480702173,1z0ca,3.55E-10
0.114545197,0.522504308,1z0ca,0.000105519
0.111402177,0.558890656,1z0ca,0.019198951
0.110369898,0.570160653,1z0ca,0.000147992
0.117190898,0.48892976,1z0ca,0.000115248
0.110592149,0.567734154,1z0ca,3.56E-05
0.10984111,0.575755851,1z0ca,0.014113983
0.11780687,0.480643923,1z0ca,3.53E-06
0.116619492,0.496434111,1z0ca,0.0002692
0.108790414,0.586706272,1z0ca,0.000146735
0.217373645,0.60507239,37o95,0.001107702
0.22978293,0.540069734,37o95,5.30E-10
0.210819074,0.635423261,37o95,0.00718657
0.228268928,0.548611812,37o95,3.77E-05
0.195239937,0.700521097,37o95,0.003913735
0.224329064,0.569997822,37o95,5.46E-05
0.220513283,0.589635284,37o95,0.000331336
0.207022201,0.651955174,37o95,2.76E-05
0.198719753,0.685737785,37o95,0.000715719
0.217155851,0.606131796,37o95,0.000932878
0.227133143,0.554898947,37o95,0.00198174
0.222852682,0.577712873,37o95,0.010570299
0.228362393,0.548098685,37o95,2.69E-05
0.2112971,0.633297243,37o95,0.000377223
0.223077879,0.57655743,37o95,0.000669568
0.220136496,0.592069925,37o95,0.000401942
0.220218903,0.59654535,37o95,0.00747204
0.227310623,0.553923168,37o95,4.04E-05
0.222892407,0.577507347,37o95,0.040542061
0.227611212,0.552270497,37o95,6.69E-05
0.221775427,0.583250765,37o95,0.000433386
0.220520015,0.590456799,37o95,0.00063932
0.229563642,0.541318511,37o95,0
0.225978172,0.561189709,37o95,4.81E-05
0.218715685,0.598548732,37o95,0.000511601
0.205161798,0.659797996,37o95,0.000157951
0.229888301,0.539464466,37o95,0
0.223719903,0.573406749,37o95,0.003892144
0.229563679,0.541319053,37o95,0
0.22955281,0.541381278,37o95,5.92E-06
0.219366609,0.595343739,37o95,0.0007279
0.229838278,0.539749843,37o95,1.05E-14
0.217512548,0.605012776,37o95,0.00246307
0.22625375,0.559712628,37o95,6.18E-05
0.222733155,0.579236183,37o95,0.000806024
0.217389886,0.605895633,37o95,0.00217125
0.211229326,0.633592088,37o95,0.002072946
0.229728058,0.540378451,37o95,0
0.229672277,0.540696236,37o95,0
0.229972884,0.538979757,37o95,3.91E-20
0.217542816,0.604254652,37o95,0.000104302
0.229716078,0.540446824,37o95,4.42E-06
0.210710253,0.636273561,37o95,0.000119788
0.229823649,0.539833135,37o95,0.048322868
0.229938235,0.539179252,37o95,0
0.203318578,0.667409322,37o95,0.005516455
0.228751347,0.5459082,37o95,2.35E-05
0.202955946,0.670314407,37o95,0.003428299
0.21827012,0.600732314,37o95,0.000816844
0.224574059,0.56870175,37o95,0.000642926
0.209643628,0.640620596,37o95,5.35E-05
0.210562854,0.636561164,37o95,0.001066248
0.227165423,0.554786729,37o95,0.001664167
0.217223345,0.605796944,37o95,0.002116628
0.223685798,0.573379425,37o95,5.71E-05
0.2155946,0.613680687,37o95,0.000582629
0.193315952,0.706161138,37o95,0.000997873
0.209345476,0.641925622,37o95,0.001080326
0.211566932,0.632123307,37o95,1.65E-05
0.213686311,0.622441426,37o95,0.011356193
0.224542367,0.568870676,37o95,5.49E-05
0.220995877,0.587203791,37o95,0.029149711
0.228511538,0.547274167,37o95,7.02E-05
0.229613619,0.541031229,37o95,0
0.215099322,0.615878346,37o95,0.000466924
0.229563662,0.541318459,37o95,0
0.229282845,0.542908885,37o95,1.50E-05
