,subj,rating,zScored_ratings,rt,raw_image_name,sliderStart,trial,block,image,pair,sourceImageA,sourceImageB,morphPercent,imageInd
847,3l6s4,0.334,-0.9526590895597852,45.89,images/experiment/pair_92_64_out_tensor(0.5000).png,46.0,452,2,92_64_0.5,92_64_,92,64,0.5,44
7047,3l6s4,0.128,-1.82585927439211,108.87,images/experiment/92_start.png,121.0,453,2,92,92,92,,,5
447,3l6s4,0.768,0.8869956687762777,43.79,images/experiment/pair_37_57_out_tensor(0.3333).png,117.0,454,2,37_57_0.33,37_57_,37,57,0.33,22
10247,3l6s4,0.926,1.5567317328709733,76.11,images/experiment/101_start.png,115.0,455,2,101,101,101,,,6
1047,3l6s4,0.854,1.2515355517645297,38.62,images/experiment/pair_5_101_out_tensor(0.3333).png,237.0,456,2,5_101_0.33,5_101_,5,101,0.33,16
2447,3l6s4,0.938,1.6075977630553806,60.35,images/experiment/pair_101_57_out_tensor(0.3333).png,33.0,457,2,101_57_0.33,101_57_,101,57,0.33,46
4847,3l6s4,0.618,0.2511702914711868,41.98,images/experiment/pair_101_64_out_tensor(0.5000).png,480.0,458,2,101_64_0.5,101_64_,101,64,0.5,50
10647,3l6s4,0.458,-0.4270434443209101,43.91,images/experiment/pair_37_92_out_tensor(0.3333).png,412.0,459,2,37_92_0.33,37_92_,37,92,0.33,28
1247,3l6s4,0.608,0.2087819329841807,44.95,images/experiment/pair_5_64_out_tensor(0.3333).png,304.0,460,2,5_64_0.33,5_64_,5,64,0.33,10
2847,3l6s4,0.238,-1.3595873310350435,47.79,images/experiment/pair_64_57_out_tensor(0.3333).png,349.0,461,2,64_57_0.33,64_57_,64,57,0.33,37
10047,3l6s4,0.4,-0.6728959235455453,45.8,images/experiment/pair_92_57_out_tensor(0.3333).png,3.0,462,2,92_57_0.33,92_57_,92,57,0.33,40
8447,3l6s4,0.578,0.08161685752316256,35.51,images/experiment/pair_101_92_out_tensor(0.5000).png,209.0,463,2,101_92_0.5,101_92_,101,92,0.5,53
47,3l6s4,0.66,0.4292013971166122,62.76,images/experiment/64_start.png,368.0,464,2,64,64,64,,,4
3047,3l6s4,0.932,1.5821647479631769,46.97,images/experiment/pair_5_41_out_tensor(0.6667).png,211.0,465,2,5_41_0.67,5_41_,5,41,0.67,9
9647,3l6s4,0.692,0.5648441442750316,35.89,images/experiment/pair_101_92_out_tensor(0.3333).png,9.0,466,2,101_92_0.33,101_92_,101,92,0.33,52
1847,3l6s4,0.394,-0.6983289386377489,34.06,images/experiment/pair_101_92_out_tensor(0.6667).png,118.0,467,2,101_92_0.67,101_92_,101,92,0.67,54
6247,3l6s4,0.752,0.819174295197068,46.8,images/experiment/pair_37_41_out_tensor(0.5000).png,445.0,468,2,37_41_0.5,37_41_,37,41,0.5,20
8247,3l6s4,0.466,-0.3931327575313053,88.13,images/experiment/57_start.png,281.0,469,2,57,57,57,,,3
4426,46vpz,0.942,0.024189239728205327,65.83,images/experiment/pair_5_101_out_tensor(0.5000).png,497.0,5,1,5_101_0.5,5_101_,5,101,0.5,17
6026,46vpz,0.956,0.257010672112175,29.5,images/experiment/pair_37_92_out_tensor(0.5000).png,271.0,6,1,37_92_0.5,37_92_,37,92,0.5,29
3026,46vpz,0.93,-0.17537198802948295,31.69,images/experiment/pair_5_41_out_tensor(0.6667).png,157.0,7,1,5_41_0.67,5_41_,5,41,0.67,9
1826,46vpz,0.894,-0.7740556713025477,28.43,images/experiment/pair_101_92_out_tensor(0.6667).png,491.0,8,1,101_92_0.67,101_92_,101,92,0.67,54
826,46vpz,0.954,0.22375046748589358,25.89,images/experiment/pair_92_64_out_tensor(0.5000).png,137.0,9,1,92_64_0.5,92_64_,92,64,0.5,44
9226,46vpz,0.948,0.12396985360704946,23.08,images/experiment/pair_37_64_out_tensor(0.6667).png,396.0,10,1,37_64_0.67,37_64_,37,64,0.67,27
10626,46vpz,0.864,-1.2729587406967684,28.16,images/experiment/pair_37_92_out_tensor(0.3333).png,96.0,11,1,37_92_0.33,37_92_,37,92,0.33,28
8826,46vpz,0.824,-1.938162833222396,201.92,images/experiment/37_start.png,80.0,12,1,37,37,37,,,1
10026,46vpz,0.962,0.3567912859910191,26.43,images/experiment/pair_92_57_out_tensor(0.3333).png,371.0,13,1,92_57_0.33,92_57_,92,57,0.33,40
6826,46vpz,0.864,-1.2729587406967684,23.9,images/experiment/pair_101_64_out_tensor(0.3333).png,29.0,14,1,101_64_0.33,101_64_,101,64,0.33,49
2426,46vpz,0.762,-2.9692291766371186,21.17,images/experiment/pair_101_57_out_tensor(0.3333).png,25.0,15,1,101_57_0.33,101_57_,101,57,0.33,46
3626,46vpz,0.95,0.15723005823333083,27.65,images/experiment/pair_64_41_out_tensor(0.6667).png,109.0,16,1,64_41_0.67,64_41_,64,41,0.67,36
10826,46vpz,0.884,-0.9403566944339546,26.26,images/experiment/pair_101_57_out_tensor(0.5000).png,357.0,17,1,101_57_0.5,101_57_,101,57,0.5,47
26,46vpz,0.888,-0.8738362851813919,21.98,images/experiment/64_start.png,3.0,18,1,64,64,64,,,4
2826,46vpz,0.734,-3.434872041405058,28.52,images/experiment/pair_64_57_out_tensor(0.3333).png,52.0,19,1,64_57_0.33,64_57_,64,57,0.33,37
6626,46vpz,0.95,0.15723005823333083,19.51,images/experiment/pair_37_101_out_tensor(0.6667).png,14.0,20,1,37_101_0.67,37_101_,37,101,0.67,33
7026,46vpz,0.912,-0.47471382966601533,22.45,images/experiment/92_start.png,21.0,21,1,92,92,92,,,5
1626,46vpz,0.912,-0.47471382966601533,17.75,images/experiment/pair_37_57_out_tensor(0.6667).png,256.0,22,1,37_57_0.67,37_57_,37,57,0.67,24
3226,46vpz,0.774,-2.7696679488794302,26.83,images/experiment/41_start.png,187.0,23,1,41,41,41,,,2
1426,46vpz,0.87,-1.1731781268179242,23.64,images/experiment/pair_37_64_out_tensor(0.3333).png,183.0,24,1,37_64_0.33,37_64_,37,64,0.33,25
4626,46vpz,0.86,-1.3394791499493313,19.89,images/experiment/pair_101_57_out_tensor(0.6667).png,104.0,25,1,101_57_0.67,101_57_,101,57,0.67,48
3426,46vpz,0.912,-0.47471382966601533,24.8,images/experiment/pair_5_41_out_tensor(0.3333).png,249.0,26,1,5_41_0.33,5_41_,5,41,0.33,7
9026,46vpz,0.948,0.12396985360704946,19.16,images/experiment/pair_5_92_out_tensor(0.5000).png,303.0,27,1,5_92_0.5,5_92_,5,92,0.5,14
4826,46vpz,0.888,-0.8738362851813919,16.62,images/experiment/pair_101_64_out_tensor(0.5000).png,192.0,28,1,101_64_0.5,101_64_,101,64,0.5,50
8226,46vpz,0.954,0.22375046748589358,25.59,images/experiment/57_start.png,134.0,29,1,57,57,57,,,3
10426,46vpz,0.866,-1.239698536070487,24.87,images/experiment/pair_37_41_out_tensor(0.3333).png,349.0,30,1,37_41_0.33,37_41_,37,41,0.33,19
4226,46vpz,0.998,0.9554749692640839,18.47,images/experiment/pair_92_64_out_tensor(0.3333).png,48.0,31,1,92_64_0.33,92_64_,92,64,0.33,43
8426,46vpz,1.0,0.9887351738903652,22.18,images/experiment/pair_101_92_out_tensor(0.5000).png,23.0,32,1,101_92_0.5,101_92_,101,92,0.5,53
7826,46vpz,0.954,0.22375046748589358,19.85,images/experiment/pair_5_41_out_tensor(0.5000).png,285.0,33,1,5_41_0.5,5_41_,5,41,0.5,8
3826,46vpz,0.866,-1.239698536070487,22.52,images/experiment/pair_92_57_out_tensor(0.5000).png,428.0,34,1,92_57_0.5,92_57_,92,57,0.5,41
5826,46vpz,0.896,-0.7407954666762664,20.29,images/experiment/pair_64_57_out_tensor(0.5000).png,498.0,35,1,64_57_0.5,64_57_,64,57,0.5,38
5626,46vpz,0.962,0.3567912859910191,19.63,images/experiment/pair_92_57_out_tensor(0.6667).png,208.0,36,1,92_57_0.67,92_57_,92,57,0.67,42
6426,46vpz,0.95,0.15723005823333083,26.68,images/experiment/pair_64_41_out_tensor(0.5000).png,385.0,37,1,64_41_0.5,64_41_,64,41,0.5,35
7626,46vpz,0.884,-0.9403566944339546,19.95,images/experiment/5_start.png,481.0,38,1,5,5,5,,,0
2026,46vpz,0.92,-0.34167301116088983,20.61,images/experiment/pair_92_64_out_tensor(0.6667).png,68.0,39,1,92_64_0.67,92_64_,92,64,0.67,45
